Date,Device_ID,Device_type,Device,Site,Ambient,Class,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Species,Live_mass,Body_length,Body_width,Count
2023-08-23,AMMOD1_0034,AMMOD,AMMOD1,Site1,Maize,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Campopleginae,Campoletis,annulata,5.311379310344828,5.228275862068966,1.1537931034482758,9
2023-08-24,AMMOD1_0035,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,#child.Sciaridae,Lycoriella,sativae,3.12,4.300000000000001,1.165,10
2023-08-24,AMMOD1_0036,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Culicomorpha,Culicoidea,Ceratopogonidae,Forcipomyiinae,Forcipomyia,bipunctata,0.9550000000000001,3.165,0.7849999999999999,130
2023-08-24,AMMOD1_0037,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Bibionoidea,Bibionidae,Bibioninae,Dilophus,febrilis,1.8561538461538463,3.6023076923076927,0.9615384615384617,65
2023-08-24,AMMOD1_0038,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Tachininae,Siphona,geniculata,8.696344827586204,5.522551724137931,1.7546666666666675,204
2023-08-24,AMMOD1_0039,AMMOD,AMMOD1,Site1,Maize,Insecta,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae,Vespula,germanica,71.46,13.613333333333335,4.026666666666666,60
2023-08-24,AMMOD1_0040,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,Sciarinae,Peyerimhoffia,vagabunda,3.12,4.300000000000001,1.165,53
2023-08-24,AMMOD1_0041,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,radicum,4.8100000000000005,4.535,1.6749999999999998,148
2023-08-24,AMMOD1_0042,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Drosophila,suzukii,8.696344827586204,5.522551724137931,1.7546666666666675,57
2023-08-24,AMMOD1_0043,AMMOD,AMMOD1,Site1,Maize,Insecta,Lepidoptera,Glossata,Heterocera,Noctuoidea,Noctuidae,Noctuinae,Hoplodrina,ambigua,1.95,3.9666666666666663,1.0333333333333334,2966
2023-08-24,AMMOD1_0044,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,Sciarinae,Schwenckfeldina,carbonaria,3.12,4.300000000000001,1.165,125
2023-08-24,AMMOD1_0045,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Phorinae,Diplonevra,nitidula,1.2314285714285715,2.912857142857143,0.89,139
2023-08-24,AMMOD1_0046,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Phorinae,Triphleba,nudipalpis,1.2314285714285715,2.912857142857143,0.89,529
2023-08-24,AMMOD1_0047,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025,1415
2023-08-24,AMMOD1_0048,AMMOD,AMMOD1,Site1,Maize,Insecta,Coleoptera,Adephaga,Geadephaga,Caraboidea,Carabidae,Platyninae,Calathus,fuscipes,185.01216216216224,15.843693693693686,5.774954954954958,15
2023-08-24,AMMOD1_0049,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Rhinophoridae,Rhinophorinae,Tricogena,rubricosa,8.696344827586204,5.522551724137931,1.7546666666666675,18
2023-08-24,AMMOD1_0050,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,florilega,4.8100000000000005,4.535,1.6749999999999998,405
2023-08-24,AMMOD1_0051,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,Sarcophaginae,Sarcophaga,variegata,8.696344827586204,5.522551724137931,1.7546666666666675,1723
2023-08-24,AMMOD1_0052,AMMOD,AMMOD1,Site1,Maize,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Phygadeuontinae,Phygadeuon,trichops,5.311379310344828,5.228275862068966,1.1537931034482758,612
2023-08-24,AMMOD1_0053,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,Megalosphyinae,Bradysia,trivittata,3.12,4.300000000000001,1.165,15
2023-08-24,AMMOD1_0054,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Metopininae,Megaselia,emarginata,1.2314285714285715,2.912857142857143,0.89,15
2023-08-24,AMMOD1_0055,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Phytomyzinae,Phytomyza,rufipes,1.27,3.23,0.8766666666666666,13
2023-08-24,AMMOD1_0056,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Scaptomyza,pallida,8.696344827586204,5.522551724137931,1.7546666666666675,1
2023-08-24,AMMOD1_0057,AMMOD,AMMOD1,Site1,Maize,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Campopleginae,Diadegma,semiclausum,5.311379310344828,5.228275862068966,1.1537931034482758,143
2023-08-24,AMMOD1_0058,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Eupeodes,corollae,12.29572580645161,7.508467741935483,2.1483064516129025,19
2023-08-24,AMMOD1_0059,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Culicomorpha,Culicoidea,Culicidae,Culicinae,Culex,pipiens,1.84,4.54,0.99,52
2023-08-24,AMMOD1_0060,AMMOD,AMMOD1,Site1,Maize,Insecta,Coleoptera,Polyphaga,Staphyliniformia,Staphylinoidea,Staphylinidae,Aleocharinae,Aleochara,bilineata,22.330000000000005,10.233272727272729,2.0220000000000002,11
2023-08-24,AMMOD1_0061,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Phytomyzinae,Amauromyza,karli,1.27,3.23,0.8766666666666666,2
2023-08-24,AMMOD1_0062,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Psychodomorpha,Psychodoidea,Psychodidae,Psychodinae,Clytocerus,ocellaris,7.582499999999999,5.904,1.128,5
2023-08-24,AMMOD1_0063,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,Megalosphyinae,Bradysia,vagans,3.12,4.300000000000001,1.165,9
2023-08-24,AMMOD1_0064,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Metopininae,Megaselia,berndseni,1.2314285714285715,2.912857142857143,0.89,3
2023-08-24,AMMOD1_0065,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Asilomorpha,Empidoidea,Hybotidae,Tachydromiinae,Platypalpus,interstinctus,5.423030303030302,4.323939393939395,1.3303030303030303,3
2023-08-24,AMMOD1_0066,AMMOD,AMMOD1,Site1,Maize,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Diplazontinae,Sussaba,aciculata,5.311379310344828,5.228275862068966,1.1537931034482758,84
2023-08-24,AMMOD1_0067,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Phasiinae,Leucostoma,simplex,8.696344827586204,5.522551724137931,1.7546666666666675,9
2023-08-24,AMMOD1_0068,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Chironominae,Chironomus,dorsalis,0.9550000000000001,3.165,0.7849999999999999,9
2023-08-24,AMMOD1_0069,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Phaoniinae,Phaonia,pallida,13.525750000000013,5.991083333333332,2.2562500000000005,10
2023-08-24,AMMOD1_0070,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Exoristinae,Exorista,rustica,8.696344827586204,5.522551724137931,1.7546666666666675,2
2023-08-24,AMMOD1_0071,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Phytomyzinae,Liriomyza,strigata,1.27,3.23,0.8766666666666666,8
2023-08-24,AMMOD1_0072,AMMOD,AMMOD1,Site1,Maize,Insecta,Lepidoptera,Glossata,Heterocera,Gelechioidea,Gelechiidae,Anomologinae,Chrysoesthia,sexguttella,1.95,3.9666666666666663,1.0333333333333334,30
2023-08-25,AMMOD1_0073,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Tachininae,Siphona,geniculata,8.696344827586204,5.522551724137931,1.7546666666666675,63
2023-08-25,AMMOD1_0074,AMMOD,AMMOD1,Site1,Maize,Insecta,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae,Vespula,germanica,71.46,13.613333333333335,4.026666666666666,66
2023-08-25,AMMOD1_0075,AMMOD,AMMOD1,Site1,Maize,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Pimplinae,Pimpla,contemplator,5.311379310344828,5.228275862068966,1.1537931034482758,19
2023-08-25,AMMOD1_0076,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,radicum,4.8100000000000005,4.535,1.6749999999999998,1082
2023-08-25,AMMOD1_0077,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Phaoniinae,Phaonia,tuguriorum,13.525750000000013,5.991083333333332,2.2562500000000005,51
2023-08-25,AMMOD1_0078,AMMOD,AMMOD1,Site1,Maize,Insecta,Lepidoptera,Glossata,Heterocera,Noctuoidea,Noctuidae,Noctuinae,Hoplodrina,ambigua,1.95,3.9666666666666663,1.0333333333333334,9
2023-08-25,AMMOD1_0079,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Phorinae,Triphleba,nudipalpis,1.2314285714285715,2.912857142857143,0.89,62
2023-08-25,AMMOD1_0080,AMMOD,AMMOD1,Site1,Maize,Insecta,Lepidoptera,Glossata,Heterocera,Noctuoidea,Noctuidae,Noctuinae,Mythimna,pallens,1.95,3.9666666666666663,1.0333333333333334,79
2023-08-25,AMMOD1_0081,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025,111
2023-08-25,AMMOD1_0082,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Drosophila,subobscura,8.696344827586204,5.522551724137931,1.7546666666666675,2
2023-08-25,AMMOD1_0083,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,florilega,4.8100000000000005,4.535,1.6749999999999998,1204
2023-08-25,AMMOD1_0084,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,Sarcophaginae,Sarcophaga,variegata,8.696344827586204,5.522551724137931,1.7546666666666675,24
2023-08-25,AMMOD1_0085,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,Sarcophaginae,Sarcophaga,aratrix,8.696344827586204,5.522551724137931,1.7546666666666675,46
2023-08-25,AMMOD1_0086,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Limnophorini (Tribu),Limnophora,tigrina,13.525750000000013,5.991083333333332,2.2562500000000005,5
2023-08-25,AMMOD1_0087,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,Megalosphyinae,Bradysia,urticae,3.12,4.300000000000001,1.165,3
2023-08-25,AMMOD1_0088,AMMOD,AMMOD1,Site1,Maize,Insecta,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Ponerinae,Ponera,coarctata,3.0777551020408147,4.416530612244895,1.2977551020408162,507
2023-08-25,AMMOD1_0089,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Sphaeroceroidea,Sphaeroceridae,Limosininae,Trachyopella,lineafrons,8.696344827586204,5.522551724137931,1.7546666666666675,532
2023-08-25,AMMOD1_0090,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Scaptomyza,pallida,8.696344827586204,5.522551724137931,1.7546666666666675,9
2023-08-25,AMMOD1_0091,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Asilomorpha,Empidoidea,Dolichopodidae,Diaphorinae,Chrysotus,gramineus,3.9976666666666674,3.9993333333333334,1.274,169
2023-08-25,AMMOD1_0092,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Carnoidea,Chloropidae,Oscinellinae,Aphanotrigonum,trilineatum,2.167586206896551,3.907931034482758,1.0355172413793103,10
2023-08-25,AMMOD1_0093,AMMOD,AMMOD1,Site1,Maize,Insecta,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,Curculionidae,Lixinae,Lixus,brevirostris,2.59962962962963,3.2672222222222227,1.1698148148148149,105
2023-08-25,AMMOD1_0094,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Mycetophilidae,Gnoristinae,Monoclona,rufilatera,1.8561538461538463,3.6023076923076927,0.9615384615384617,57
2023-08-25,AMMOD1_0095,AMMOD,AMMOD1,Site1,Maize,Insecta,Lepidoptera,Glossata,Heterocera,Noctuoidea,Noctuidae,Noctuinae,Mythimna,oxygala,1.95,3.9666666666666663,1.0333333333333334,27
2023-08-26,AMMOD1_0096,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,Sciarinae,Peyerimhoffia,vagabunda,3.12,4.300000000000001,1.165,30
2023-08-26,AMMOD1_0097,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Agromyzinae,Agromyza,paralucida,1.27,3.23,0.8766666666666666,7
2023-08-26,AMMOD1_0098,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,radicum,4.8100000000000005,4.535,1.6749999999999998,583
2023-08-26,AMMOD1_0099,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Drosophila,suzukii,8.696344827586204,5.522551724137931,1.7546666666666675,1
2023-08-26,AMMOD1_0100,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Phaoniinae,Phaonia,tuguriorum,13.525750000000013,5.991083333333332,2.2562500000000005,1598
2023-08-26,AMMOD1_0101,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Botanophila,fugax,4.8100000000000005,4.535,1.6749999999999998,209
2023-08-26,AMMOD1_0102,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,Phoridae,Phorinae,Diplonevra,nitidula,1.2314285714285715,2.912857142857143,0.89,94
2023-08-26,AMMOD1_0103,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,12.29572580645161,7.508467741935483,2.1483064516129025,874
2023-08-26,AMMOD1_0104,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Drosophila,subobscura,8.696344827586204,5.522551724137931,1.7546666666666675,11
2023-08-26,AMMOD1_0105,AMMOD,AMMOD1,Site1,Maize,Insecta,Lepidoptera,Glossata,Heterocera,Noctuoidea,Noctuidae,Plusiinae,Autographa,gamma,1.95,3.9666666666666663,1.0333333333333334,42
2023-08-26,AMMOD1_0106,AMMOD,AMMOD1,Site1,Maize,Insecta,Coleoptera,Adephaga,Geadephaga,Caraboidea,Carabidae,Platyninae,Calathus,fuscipes,185.01216216216224,15.843693693693686,5.774954954954958,2575
2023-08-26,AMMOD1_0107,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,#child.Anthomyiidae,Phorbia,fumigata,4.8100000000000005,4.535,1.6749999999999998,136
2023-08-26,AMMOD1_0108,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,florilega,4.8100000000000005,4.535,1.6749999999999998,2512
2023-08-26,AMMOD1_0109,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,Sarcophaginae,Sarcophaga,variegata,8.696344827586204,5.522551724137931,1.7546666666666675,2927
2023-08-26,AMMOD1_0110,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Fanniidae,#child.Fanniidae,Fannia,latipalpis,6.208333333333333,3.9266666666666663,1.413333333333333,131
2023-08-26,AMMOD1_0111,AMMOD,AMMOD1,Site1,Maize,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Braconidae,Blacinae,Blacus,stelfoxi,2.5116216216216225,3.7481081081081076,1.0197297297297299,20
2023-08-26,AMMOD1_0112,AMMOD,AMMOD1,Site1,Maize,Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,Phygadeuontinae,Phygadeuon,trichops,5.311379310344828,5.228275862068966,1.1537931034482758,43
2023-08-26,AMMOD1_0113,AMMOD,AMMOD1,Site1,Maize,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Limnophorini (Tribu),Limnophora,triangula,13.525750000000013,5.991083333333332,2.2562500000000005,3
